dataset,method,level,seed,selected_run_path,WorstDrop
cifar100,pall_adapter,high,3,runs/cifar100/T10_F3/pall_adapter/seed_3/20260808_122357,0.049999982118606567
cifar100,pall_adapter,high,4,runs/cifar100/T10_F3/pall_adapter/seed_4/20260808_174527,0.054000020027160645
cifar100,pall_adapter,very_high,0,runs/cifar100/T10_F3/pall_adapter/seed_0/20260712_073902,0.030000001192092896
cifar100,pall_adapter,very_high,1,runs/cifar100/T10_F3/pall_adapter/seed_1/20260712_125524,0.1080000102519989
cifar100,pall_adapter,very_high,2,runs/cifar100/T10_F3/pall_adapter/seed_2/20260808_080655,0.049999982118606567
cifar100,pall_adapter,very_high,3,runs/cifar100/T10_F3/pall_adapter/seed_3/20260808_132811,0.070000007748603821
cifar100,pall_adapter,very_high,4,runs/cifar100/T10_F3/pall_adapter/seed_4/20260808_184937,0.078000009059906006
cifar100,pall_modified,very_low,0,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_031548,0.0099999904632568359
cifar100,pall_modified,very_low,1,runs/cifar100/T10_F3/pall_modified/seed_1/20260712_083155,0.0080000162124633789
cifar100,pall_modified,very_low,2,runs/cifar100/T10_F3/pall_modified/seed_2/20260808_033928,0.0040000081062316895
cifar100,pall_modified,very_low,3,runs/cifar100/T10_F3/pall_modified/seed_3/20260808_090023,0.0040000081062316895
cifar100,pall_modified,very_low,4,runs/cifar100/T10_F3/pall_modified/seed_4/20260808_142117,0.0060000419616699219
cifar100,pall_modified,low,0,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_041913,0.0040000081062316895
cifar100,pall_modified,low,1,runs/cifar100/T10_F3/pall_modified/seed_1/20260712_093456,0.0080000162124633789
cifar100,pall_modified,low,2,runs/cifar100/T10_F3/pall_modified/seed_2/20260808_044349,0.0060000121593475342
cifar100,pall_modified,low,3,runs/cifar100/T10_F3/pall_modified/seed_3/20260808_100436,0.0020000040531158447
cifar100,pall_modified,low,4,runs/cifar100/T10_F3/pall_modified/seed_4/20260808_152537,0.0099999904632568359
cifar100,pall_modified,medium,0,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_052222,0.0059999823570251465
cifar100,pall_modified,medium,1,runs/cifar100/T10_F3/pall_modified/seed_1/20260712_103801,0.0080000162124633789
cifar100,pall_modified,medium,2,runs/cifar100/T10_F3/pall_modified/seed_2/20260808_054752,0
cifar100,pall_modified,medium,3,runs/cifar100/T10_F3/pall_modified/seed_3/20260808_110845,0.0099999904632568359
cifar100,pall_modified,medium,4,runs/cifar100/T10_F3/pall_modified/seed_4/20260808_163000,0.0080000162124633789
cifar100,pall_modified,high,0,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_062536,0.0079999864101409912
cifar100,pall_modified,high,1,runs/cifar100/T10_F3/pall_modified/seed_1/20260712_114132,0.011999994516372681
cifar100,pall_modified,high,2,runs/cifar100/T10_F3/pall_modified/seed_2/20260808_065154,0.0099999904632568359
cifar100,pall_modified,high,3,runs/cifar100/T10_F3/pall_modified/seed_3/20260808_121257,0.011999994516372681
cifar100,pall_modified,high,4,runs/cifar100/T10_F3/pall_modified/seed_4/20260808_173432,0.010000020265579224
cifar100,pall_modified,very_high,0,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_072831,0.012000024318695068
cifar100,pall_modified,very_high,1,runs/cifar100/T10_F3/pall_modified/seed_1/20260712_124458,0.025999993085861206
cifar100,pall_modified,very_high,2,runs/cifar100/T10_F3/pall_modified/seed_2/20260808_075600,0.0099999904632568359
cifar100,pall_modified,very_high,3,runs/cifar100/T10_F3/pall_modified/seed_3/20260808_131714,0.016000032424926758
cifar100,pall_modified,very_high,4,runs/cifar100/T10_F3/pall_modified/seed_4/20260808_183849,0.018000006675720215
cifar100,pall_original,very_low,0,runs/cifar100/T10_F3/pall_original/seed_0/20260712_030528,0.0020000040531158447
cifar100,pall_original,very_low,1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_082132,0.023999989032745361
cifar100,pall_original,very_low,2,runs/cifar100/T10_F3/pall_original/seed_2/20260808_032903,0.02000001072883606
cifar100,pall_original,very_low,3,runs/cifar100/T10_F3/pall_original/seed_3/20260808_085000,0.0060000121593475342
cifar100,pall_original,very_low,4,runs/cifar100/T10_F3/pall_original/seed_4/20260808_141050,0.0099999904632568359
cifar100,pall_original,low,0,runs/cifar100/T10_F3/pall_original/seed_0/20260712_040847,0.0060000419616699219
cifar100,pall_original,low,1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_092434,0.023999989032745361
cifar100,pall_original,low,2,runs/cifar100/T10_F3/pall_original/seed_2/20260808_043321,0.018000006675720215
cifar100,pall_original,low,3,runs/cifar100/T10_F3/pall_original/seed_3/20260808_095413,0.018000006675720215
